goal,sol1,sol2,label
How do you sand a piece of wood?,"Using a moldy napkin, spray windows with Windex. Rub the paper napkin on the windows in circular motions. Dry down windows with a dry paper napkin.",use a fork to pull the inside of the pepper out.,1
How can I grow tomatoes without a garden?,"Look at the words to be found, then skim along the puzzle until you find it",Hollow out french bread to hide bottle.,1
how do I identify Certus constellation,"Put a fan in a window that will pull in wind from the inside, and then put another fan in a window opposite that’s blowing air in to really amp up the air circulation in your home.",Clean your house blinds by using the upholstery attachment on your vacuum.,1
What supplies do you need to make a light out of glue sticks?,wet your face with warm water and massage the conditioner onto your skin.,"Press the button, then wait until it turns white then walk",1
Tell when there was a drought by looking at a tree slice.,"open the box, and pull the parchment to the desired length, tear off, and place on baking sheet.","One gallon can of paint will cover up to 600 square feet, which is enough to cover a small room like a bathroom. Two gallon cans of paint cover up to 800 square feet, which is enough to cover an average size room. This is the most common amount needed especially when considering second coat coverage.",0
how ot bake pumpkin,Go out to the meter at the street. Turn the valve as far as it will go either way.,place the potato on the rack and let the potato steam itself on a low heat.,0
what to bake tomatoes in,Rub furniture with steel wool.,Douse each stain with a couple cans of soda.,1
"To easily get through a large crowd of people,",take the bottles to a grocery store with a recycling center.,stir it very quickly.,0
Make floating votive candles.,Take the gummy bears out and place them on a baking sheet to dry.,can be used for  crossing out words,0
how do I make lamb cutlets?,Do it in a poorly ventilated area,Staple the wires to the appropriate contacts on the inner side of the USB port,0
Unclog stuffy noise.,"Liquid glue,shaving cream, eye wash, baking soda and food coloring",can be broken with a baby wipe ,0
penny,Use the edge of a toothpick to scrape under the edges without damaging the paint underneath,Store tools in empty cotton swab box.,1
how do you tip a waiter with cash?,"If filling gets stuck on the side of the blender, you can scrape it with a cookie scoop.",Using a clean jar place your stencil sticky side down on the jar. Use tape to cover up the spots you don't want to be etched around the stencil. Brush etching cream onto the surface of the jar around the stencil and let sit for 3 to 5 minutes. Wash off.,0
how do you turn off an alarm in the alarm app on iphone?,Rest the jeans in a bucket of water for a day then hang outside on the washing line for a few days in dry weather,Add a few drops of lemon or lime juice and stir with a spoon.,1
Can i blend my own peppermint tea?,Eat more domestic animal products.,use a serrated knife instead of a smooth edged one.,1
How to prepare wood chips for smoking.,Cut small candle holders from pool noodle.,place it at the bottom of the bed.,0
How to clean kitchen cabinet doors.,Lavender essential oil is undetectable by mosquitoes. Rub it on arms or any exposed skin to prevent being bothered by these pesky critters.,"Most commonly the brown recluse spider is brown in color though it can also be tan, light brown or even whitish in color. The spider has 6 eyes as compared to the normal 8 eyes found on most spiders.",0
How can I saute the onions?,"Spray some windex on the windows and leave it for a few hours, then when you enter the car again run the windscreen wipers","With scissors, cut a large rectangle of baking parchment and lay it out on a cutting board. Still in the bowl, take your cookie dough and roll it into a ball with your clean hands. Place the ball in the center of the baking parchment and start rolling it back and forth with your hands, so that it starts to elongate into a fat cylinder. Keep rolling back and forth, keeping the shape evenly cylindrical as it lengthens, until it's a long, fat sausage the width of the cookies you want to make. Tuck the ends of the parchment over the ends of the dough, and starting at one side tightly wrap the sausage of dough up in the parchment. Place it in the refrigerator overnight to cool. When you're ready to bake it, take it out of the oven, and with the dough still wrapped slice it in equally width pucks, place them on a lines cookie sheet and bake in the oven.",0
vine,"Take a piece of wood and remove the bark, then press it to try and snap it in half, attach thick a elastic band across the middle",Wash them with color guard in a separate all white load.,0
computer,- Glue sticks (10 -15 pieces). Choose clear glue sticks.    - flashlight    - 2 pieces plastic bottles.    - paper plate with foil(used as a reflector.    - adhesive tape.    - colored paper    - glue    - scissors    - knife or paper cutter    - marker,"Put  4 tea bags into a two quart glass container, fill with water and cap. Place outside where the sunlight can hit the container for about 3 to 5 hours.",1
How can I set no bake nanaimo bars?,"Choose a pressure washer with a setting of 1200 – 1900 PSI. It's safe to use for cars, so you won't need to worry about damaging the paint on your car. Experts recommend using a pressure washer with 1.4 – 1.6 GPM. There are several different sizes of nozzles that can be used with a pressure washer.","Put seasoning into measuring cup, then place raw chicken in the measuring cup and coat with seasoning.",0
